AnthroposophyMedMed,AnthroposophyMedTherapy,Autohaemotherapy,Ayurveda,BMI,Baden_Württemberg,Bayern,Berlin,Brandenburg,Bremen,Cancer_screening,Chelattherapie,Child_UG,Doc_search,EmerencyService_Abroad,Feldenkrais,GKVname,Generika,Hamburg,Health_checkUp,Hessen,HomoeopathyMed,HomoeopathyTherapy,Irisdiagnostic,Lighttherapy,MVP,NRW,Niedersachsen,Osteopathy,Physiotherapy,Premium_rate,Replexmassage,Rheinland_Pfalz,Saarland,Sachsen,Sachsen_Anhalt,Schleswig_Holtstein,Shiatsu,TCM,Thüringen,Travel_vacc,Vaccine,adjuvant,alter_cancerMed,alter_cancerTherapy,appointment_help,careReminderService,gym,hospital_search,medical_phoneInfo,non_smoker,online_branch,pharmacy,prevention,reciept_online,reha_search,service_hotline,skinCancer,sport_club,sport_ensigh,teeth_clean,yearly_dentist
Nein,"Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,nein,Nein,BKK Diakonie,ja,True,nein,True,Nein,"Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 80,00 % und max. 200,00 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,"15,70% ",Nein,True,False,True,True,True,Nein,Nein,False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 80,00% aber maximal 12,00 EUR.",,nein,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der BKK Diakonie ist durchschnittlich 15 Stunden an 7 Tagen die Woche erreichbar",ja,nein,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6, U7, U8, U9, J1",ja,nein,ja,Das Service-Telefon der BKK Diakonie unter 0521-329876-120 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
"Ja, max. 80,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,False,True,False,False,False,ja,Nein,ja,ja,nein,Nein,BKK Herkules,nein,False,ja,True,"Ja, max. 80,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,False,False,True,"Ja, max. 80,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 80,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,70% ","Ja, max. 70,00 % und max. 70,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",False,False,False,False,False,"Ja, max. 70,00 % und max. 70,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 90,00%.",,keine Angabe,Nein,Nein,ja,ja,ja,ja,nein,ja,nein,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, J1",ja,nein,nein,Das Service-Telefon der BKK Herkules unter 0800-2551255 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,ja
"Ja, max. 100,00 % und max. 80,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder und Jugendliche unter 18 Jahren) im Rahmen eines",Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,nein,Nein,Heimat Krankenkasse,nein,True,nein,True,"Ja, max. 100,00 % und max. 80,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder und Jugendliche unter 18 Jahren) im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 80,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder und Jugendliche unter 18 Jahren) im Rahmen eines","15,70% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00% aber maximal 100,00 EUR. Übernahme im Rahmen eines",,nein,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der Heimat Krankenkasse ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6",ja,nein,ja,Das Service-Telefon der Heimat Krankenkasse unter 0800 1060100 ist wie folgt erreichbar:,ja,ja,nein,nein,nein
"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,nein,ja,nein,Nein,actimonda krankenkasse,nein,True,nein,True,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,Nein,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,60% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00% aber maximal 100,00 EUR.",,nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,nein,ja,ja,ja,"ja, die medizinische Infohotline der actimonda krankenkasse ist durchschnittlich 12 Stunden an 5 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der actimonda krankenkasse unter 0800-9006600 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,nein,nein
"Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,False,False,False,False,False,ja,Nein,ja,ja,nein,Nein,BKK DürkoppAdler,nein,False,ja,False,"Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,False,True,False,"Ja, max. 80,00 % und max. 160,00 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,60% ",Nein,False,False,False,False,False,Nein,Nein,False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00% aber maximal 100,00 EUR.",,nein,Nein,Nein,nein,ja,ja,ja,nein,ja,ja,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6, U7, U8, U9, J1",ja,nein,ja,Das Service-Telefon der BKK DürkoppAdler unter 0521-260770 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
"Ja, max. 70,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 70,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",ja,True,True,True,True,True,ja,"Nein, aber Bezuschussung im Rahmen eines",ja,ja,ja,"Nein, aber Bezuschussung im Rahmen eines",HEK - Hanseatische Krankenkasse,ja,True,ja,True,"Ja, max. 70,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,True,True,"Ja, max. 80,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 70,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,60% ","Nein, aber Bezuschussung im Rahmen eines",True,True,True,True,True,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,ja,"Ja, max. 70,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",ja,ja,ja,ja,"ja, die medizinische Infohotline der HEK - Hanseatische Krankenkasse ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,ja,ja,Das Service-Telefon der HEK - Hanseatische Krankenkasse unter 0800 0213213 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,ja
Nein,Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,ja,Nein,VIACTIV Krankenkasse,nein,True,ja,True,Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 90,00 % und max. 360,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"16,30% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der VIACTIV Krankenkasse ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der VIACTIV Krankenkasse unter 0800 222 12 11 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",ja,True,True,True,True,True,ja,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",ja,ja,ja,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",SECURVITA Krankenkasse,ja,True,ja,True,Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",True,True,True,"Ja, max. 100,00 % und max. 360,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","16,30% ","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",True,True,True,True,True,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,ja,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",ja,ja,ja,ja,"ja, die medizinische Infohotline der SECURVITA Krankenkasse ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der SECURVITA Krankenkasse unter 0800-6003000 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,ja
"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,False,False,False,True,False,ja,Nein,ja,ja,ja,Nein,Brandenburgische BKK,nein,False,ja,False,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 350,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",False,False,False,"Ja, max. 80,00 % und max. 300,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","16,10% ",Nein,False,False,False,False,False,Nein,Nein,False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,keine Angabe,keine Angabe,ja,ja,ja,ja,"ja, die medizinische Infohotline der Brandenburgische BKK ist durchschnittlich 17 Stunden an 7 Tagen die Woche erreichbar",ja,nein,ja,ja,nein,ja,Das Service-Telefon der Brandenburgische BKK unter 03364-40130 ist wie folgt erreichbar:,ja,ja,ja,ja,nein
"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",ja,True,True,True,True,True,ja,Nein,ja,ja,ja,"Nein, aber Bezuschussung im Rahmen eines",KKH Kaufmännische Krankenkasse,nein,True,nein,True,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,True,True,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","16,10% ","Nein, aber Bezuschussung im Rahmen eines",True,True,True,True,True,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,"Ja, für eine Auswahl der Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.",,keine Angabe,"Nein, aber Bezuschussung im Rahmen eines",Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der KKH Kaufmännische Krankenkasse ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der KKH Kaufmännische Krankenkasse unter 0800 5548640554 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,ja
"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",ja,True,True,True,True,True,ja,"Nein, aber Bezuschussung im Rahmen eines",ja,ja,ja,"Nein, aber Bezuschussung im Rahmen eines",DAK-Gesundheit,ja,True,ja,True,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,True,True,"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","16,10% ","Nein, aber Bezuschussung im Rahmen eines",True,True,True,True,True,"Nein, aber Bezuschussung im Rahmen eines",Nein,True,"Ja, für eine Auswahl der Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 50,00%.",,ja,"Nein, aber Bezuschussung im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",ja,ja,ja,ja,"ja, die medizinische Infohotline der DAK-Gesundheit ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der DAK-Gesundheit unter 040-325 325 555 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,ja
"Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",ja,False,False,False,False,False,ja,"Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",ja,ja,ja,"Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",IKK Südwest,ja,False,ja,True,"Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",False,False,False,"Ja, max. 100,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","16,10% ","Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",True,True,False,False,False,"Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00% aber maximal 70,00 EUR.",,ja,"Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern, nur regional für alle Versicherten",ja,ja,ja,ja,"ja, die medizinische Infohotline der IKK Südwest ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der IKK Südwest unter 0800-0 119 119 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,ja
Nein,Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,ja,Nein,IKK classic,nein,True,nein,True,"Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 100,00 % und max. 160,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"16,00% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der IKK classic ist durchschnittlich 16 Stunden an 7 Tagen die Woche erreichbar",ja,ja,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6, U7, U8, U9, J1",ja,nein,ja,Das Service-Telefon der IKK classic unter 0800 455 1111 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,nein,nein
"Ja, max. 100,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,nein,ja,Nein,BAHN-BKK,nein,True,nein,True,"Ja, max. 100,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 80,00 % und max. 200,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","16,00% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der BAHN-BKK ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der BAHN-BKK unter 0800-2246255 ist wie folgt erreichbar:,ja,ja,ja,nein,nein
Nein,Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,nein,Nein,BKK Pfalz,ja,True,nein,True,Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,Nein,Nein,"16,00% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00% aber maximal 150,00 EUR.",,ja,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der BKK Pfalz ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",nein,nein,nein,ja,ja,ja,Das Service-Telefon der BKK Pfalz unter 0800-1333300 ist wie folgt erreichbar:,ja,nein,ja,nein,nein
Nein,Nein,Nein,Nein,ja,False,False,False,False,False,ja,Nein,ja,ja,ja,Nein,AOK Rheinland/Hamburg,ja,True,nein,False,Nein,"Nein, aber Bezuschussung im Rahmen eines",Nein,Nein,False,True,False,"Nein, aber Bezuschussung im Rahmen eines",Nein,"16,00% ",Nein,False,False,False,False,False,Nein,Nein,False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der AOK Rheinland/Hamburg ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,ja,ja,Das Service-Telefon der AOK Rheinland/Hamburg unter 0 800 - 0326 326 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,nein,ja
